yr	ty	pi	fi	in
20	earth	Roger De Roo	Puneeth Yogananda	University of Michigan, Ann Arbor
18	planet	Stephen Bougher	Roeten, Kali	University of Michigan, Ann Arbor
18	helio	Justin Kasper	Bert, Christopher	University of Michigan, Ann Arbor
18	helio	Daniel Welling	Mukhopadhyay, Agnit	University of Michigan, Ann Arbor
20	astro	Mateusz Ruszkowski	Francisco Holguin	University of Michigan, Ann Arbor
20	helio	Michael Liemohn	Brian Swiger	University of Michigan, Ann Arbor
21	planet	James Slavin	Charles Bowers	University of Michigan, Ann Arbor
19	planet	Edwin Bergin	Jenny Calahan	University of Michigan, Ann Arbor
19	planet	John Monnier	Benjamin Setterholm	University of Michigan, Ann Arbor
19	planet	Jim Raines	Austin Glass	University of Michigan, Ann Arbor
19	helio	Justin Kasper	Daniel Vech	University of Michigan, Ann Arbor
19	helio	Shasha Zou	Zihan Wang	University of Michigan, Ann Arbor
18	earth	Chris Ruf	Rachel Norris	University of Michigan, Ann Arbor
19	earth	Neil Carter	Alexander Killion	University of Michigan, Ann Arbor
19	earth	Xianglei Huang	Colten Peterson	University of Michigan, Ann Arbor
21	earth	Gretchen Keppel-Aleks	Daniel Muccio	University of Michigan, Ann Arbor
18	helio	Lindsay Glesener	Knuth, Trevor	University of Minnesota
21	helio	Lindsay Glesener	Yixian Zhang	University of Minnesota
19	helio	Lindsay Glesener	Jessie Duncan	University of Minnesota
19	helio	Robert Lysak	Aaron West	University of Minnesota
18	earth	Dylan Millet	Xueying Yu	University of Minnesota
19	earth	Ardeshir Ebtehaj	Lun Gao	University of Minnesota
21	earth	Peter Neff	Julia Andreasen	University of Minnesota
20	planet	Zhaohuan Zhu	Shangjia Zhang	University of Nevada, Las Vegas
21	helio	Marc Lessard	Niharika Godbole	University of New Hampshire, Durham
18	earth	Tamlin Pavelsky	Simon Topp	University of North Carolina, Chapel Hill
19	earth	Tamlin Pavelsky	Wayana Dolan	University of North Carolina, Chapel Hill
19	astro	Jay Howk	Michelle Berg	University of Notre Dame
19	earth	Jeffrey Basara	Ryann Wakefield	University of Oklahoma, Norman
21	earth	Pierre-Emmanuel Kirstetter	Noah Brauer	University of Oklahoma, Norman
18	earth	Amanda Thomas	Jiun-Ting Lin	University of Oregon
21	earth	David Sutherland	Nicole Abib	University of Oregon
18	earth	Melissa Omand	Melanie Feen	University of Rhode Island
20	earth	Colleen Mouw	Virginie Sonnet	University of Rhode Island
21	astro	Jannick Rolland	Jessica Steidle	University of Rochester
19	astro	Steven Rodney	Justin Roberts-Pierel	University of South Carolina
20	earth	Don Chambers	Jessica Caggiano	University of South Florida, Tampa
18	earth	Xinfeng Liang	Chao Liu	University of South Florida, Tampa
19	earth	Chuanmin Hu	Yingjun Zhang	University of South Florida, Tampa
18	earth	Alireza Tabatabaeenejad	Kazem Bakian Dogaheh	University of Southern California
18	earth	Mahta Moghaddam	Samuel Prager	University of Southern California
20	earth	Jingyi Chen	Ke Wang	University of Texas, Austin
20	earth	Jingyi Chen	Yue Wu	University of Texas, Austin
20	earth	Zong-Liang Yang	Kwun Yip Fung	University of Texas, Austin
20	astro	Brendan Bowler	Quang Tran	University of Texas, Austin
20	astro	Caroline Morley	Melanie Rowland	University of Texas, Austin
21	planet	Timothy Goudge	Emily Bamber	University of Texas, Austin
18	earth	Ginny Catania	Sophie Goliber	University of Texas, Austin
18	planet	Benjamin Brunner	Labrado, Amanda	University of Texas, El Paso
21	helio	Maher Dayeh	Samuel Hart	University of Texas, San Antonio
19	planet	Kurt Retherford	Lizeth Magana	University of Texas, San Antonio
19	earth	Steven Krueger	Xia Li	University of Utah, Salt Lake City
18	earth	Jason Stockwell	Allison Hrycik	University of Vermont, Burlington
19	earth	Venkat Lakshmi	Hyunglok Kim	University of Virginia, Charlottesville
20	earth	Knut Christianson	Andrew Osten Hoffman	University of Washington
20	earth	Dennis Hartmann	Adam B Sokol	University of Washington
20	earth	Georgy Manucharyan	Yang Wang	University of Washington
18	planet	Erika Harnett	Styczinski, Marshall	University of Washington, Seattle
20	planet	Becky Alexander	Yuk Chun Chan	University of Washington, Seattle
21	planet	David Catling	Lucas Fifer	University of Washington, Seattle
21	planet	Andrew Connolly	Hayden Smotherman	University of Washington, Seattle
19	astro	Jessica Werk	Natalie Sanchez	University of Washington, Seattle
18	earth	David Butman	Catherine Kuhn	University of Washington, Seattle
18	earth	Jessica Lundquist	Justin Pflug	University of Washington, Seattle
18	earth	Van Kane	Liz van Wagtendonk	University of Washington, Seattle
19	earth	Shuyi Chen	Benjamin Barr	University of Washington, Seattle
19	earth	David Shean	Shashank Bhushan	University of Washington, Seattle
19	earth	Aaron Wirsing	Lauren Satterfield	University of Washington, Seattle
20	earth	Joel Thornton	Carley Fredrickson	University of Washington, Seattle
21	earth	Shuyi Chen	Lucero Yakelyn Ramos Jauregui	University of Washington, Seattle
21	earth	Lynn McMurdie	Andrew DeLaFrance	University of Washington, Seattle
18	helio	Jan Egedal	Lichko, Emily	University of Wisconsin, Madison
20	planet	David Baum	Lena Vincent	University of Wisconsin, Madison
18	earth	Daniel Wright	Samantha Hartke	University of Wisconsin, Madison
21	earth	Tristan L'Ecuyer	Julia Shates	University of Wisconsin, Madison
21	earth	Volker Radeloff	Natalia Rogova	University of Wisconsin, Madison
21	astro	Philip Chang	Alexandra Spaulding	University of Wisconsin, Milwaukee
20	earth	Tristan L'Ecuyer	Juliet Ann Pilewskie	University of Wisconsin, Madison
18	astro	Daniel Dale	Sutter, Jessica	University of Wyoming
21	astro	Chip Kobulnicky	Ashley Piccone	University of Wyoming
18	earth	Owen Toon	Parker Case	Using GEOS-5/CARMA to Improve Interpretations of  NASA Satellite Observations of
21	earth	Deepti Singh	Dmitri Kalashnikov	Washington State University, Pullman
18	earth	Rajan Chakrabarty	Benjamin Sumlin	Washington University
19	planet	Jeffrey Catalano	Kaushik Mitra	Washington University
19	earth	Atri Dutta	Pardhasai Chadalavada	Wichita State University
20	helio	Stanislav Sazykin	Anastasia Newheart	William Marsh Rice University
19	planet	Rajdeep Dasgupta	Damanveer Grewal	William Marsh Rice University
19	planet	Laurence Yeung	Asmita Banerjee	William Marsh Rice University
19	earth	Amala Mahadevan	Jing He	Woods Hole Oceanographic Institution
20	astro	Nikhil Padmanabhan	Jovana Zagorac	Yale University
21	astro	Nikhil Padmanabhan	Xinyi Chen	Yale University
18	earth	Walter Jetz	Ben Carlson	Yale University
18	earth	Alexey Fedorov	Bowen Zhao	Yale University
20	earth	Alexey Fedorov	Ulla Klint Heede	Yale University
