yr	ty	pi	fi	in
15	earth	Adam Martiny	Catherine Garcia	University of California, Irvine
15	earth	Soroosh Sorooshian	Yumeng Tao	University of California, Irvine
16	earth	James Randerson	Paul Levine	University of California, Irvine
16	earth	Gudrun Magnusdottir	Adam Purdy	University of California, Irvine
16	earth	Isabella Velicogna	Meng Zhao	University of California, Irvine
17	earth	Mathieu Morlighem	Youngmin Choi	University of California, Irvine
17	earth	Gudrun Magnusdottir	Ana Thome Sena	University of California, Irvine
18	earth	Efi Foufoula-Georgiou	Lawrence Vulis	University of California, Irvine
19	earth	Katherine Mackey	Joana Tavares-Reager	University of California, Irvine
21	earth	Eric Rignot	Jae Hun Kim	University of California, Irvine
16	astro	Tommaso Treu	Mason, Charlotte	University of California, Los Angeles
16	earth	Kyle Cavanaugh	Daniel Jensen	University of California, Los Angeles
17	earth	Yongwei Sheng	Karen An	University of California, Los Angeles
17	earth	Laurence Smith	Matthew Cooper	University of California, Los Angeles
17	planet	An Yin	Leonard, Erin	University of California, Los Angeles
18	planet	David Jewitt	Graykowski, Ariel	University of California, Los Angeles
18	planet	Kevin McKeegan	McCain, Kaitlyn	University of California, Los Angeles
18	planet	An Yin	Schoenfeld, Ashley	University of California, Los Angeles
20	planet	Mark Harrison	Andrew F. Parisi	University of California, Los Angeles
20	planet	Hilke Schlichting	Akash Gupta	University of California, Los Angeles
20	helio	Vassilis Angelopoulos	Ethan Tsai	University of California, Los Angeles
21	planet	Tina Treude	Jiarui Liu	University of California, Los Angeles
21	helio	Jacob Bortnik	Ning Kang	University of California, Los Angeles
18	earth	Steven Margulis	Jacob Schaperow	University of California, Los Angeles
19	earth	Jasper Kok	Yue Huang	University of California, Los Angeles
19	earth	Yahya Rahmat-Samii	Anastasios Papathanasopoulos	University of California, Los Angeles
19	earth	Laurence Smith	Jessica Fayne	University of California, Los Angeles
19	helio	Vassilis Angelopoulos	Colin Wilkins	University of California, Los Angeles
20	earth	Rong Fu	Sarah Rose Worden	University of California, Los Angeles
20	earth	Dennis Lettenmaier	Emilie G Tarouilly	University of California, Los Angeles
20	earth	Pablo Saide	Laura H Thapa	University of California, Los Angeles
20	earth	Andrew Stewart	Ken Zhao	University of California, Los Angeles
21	earth	Steven Margulis	Manon von Kaenel	University of California, Los Angeles
21	earth	Gregory Okin	Francisco Ochoa	University of California, Los Angeles
21	earth	Erin Hestir	Brittany Lopez Barreto	University of California, Merced
16	astro	Bahram Mobasher	Khostovan, Ali	University of California, Riverside
17	planet	Mary Droser	Evans, Scott	University of California, Riverside
21	astro	Simeon Bird	Ming-Feng Ho	University of California, Riverside
21	planet	Mary Droser	Rachel Surprenant	University of California, Riverside
21	planet	Stephen Kane	Michelle Hill	University of California, Riverside
15	earth	Bob Allen	Rainer Luptowitz	University of California, Riverside
15	earth	Gareth Funning	Nader Shakibay Senobari	University of California, Riverside
15	planet	Gordon Love	Pehr, Kelden	University of California, Riverside
19	planet	Douglas Bartlett	Kelli Mullane	University of California, San Diego
15	earth	Dan Lubin	Ryan Scott	University of California, San Diego
16	earth	Jennifer MacKinnon	Marion Alberty	University of California, San Diego
16	earth	William Young	Cesar Barbedo Rocha	University of California, San Diego
16	earth	Uwe Send	Jannes Koelling	University of California, San Diego
16	earth	Jennifer Haase	Jessie Saunders	University of California, San Diego
17	earth	Janet Sprintall	Arachaporn Anutaliya	University of California, San Diego
17	earth	Sarah Gille	Ana de Figueiredo Melo Villas Boas	University of California, San Diego
18	earth	Helen Amanda Fricker	Susheel Adusumilli	University of California, San Diego
18	earth	Adrian Borsa	Wesley Neely	University of California, San Diego
19	earth	Sarah Gille	Luke Kachelein	University of California, San Diego
20	earth	Joel Norris	Christopher Macpherson	University of California, San Diego
20	earth	Sarah Purkey	Ratnaksha Lele	University of California, San Diego
20	earth	David Sandwell	Hugh Harper	University of California, San Diego
21	earth	Adrian Borsa	Ho-man Lau	University of California, San Diego
15	earth	David Siegel	James Allen	University of California, Santa Barbara
15	earth	Dar Roberts	Susan Meerdink	University of California, Santa Barbara
16	earth	Jeff Dozier	Tyler Brandt	University of California, Santa Barbara
16	earth	David Siegel	Dylan Catlett	University of California, Santa Barbara
16	earth	Dar Roberts	Erin Wetherley	University of California, Santa Barbara
18	earth	Joseph McFadden	David Miller	University of California, Santa Barbara
18	earth	Leila Carvalho	Deanna Nash	University of California, Santa Barbara
18	earth	Tim DeVries	Michael Nowicki	University of California, Santa Barbara
21	earth	Tim DeVries	Kana Yamamoto	University of California, Santa Barbara
21	earth	Charles Jones	Kevin Varga	University of California, Santa Barbara
21	earth	David Siegel	Nathalie Eegholm	University of California, Santa Barbara
15	planet	Jonathan Fortney	Mankovich, Christopher	University of California, Santa Cruz
17	planet	Francis Nimmo	Zube, Nicholas	University of California, Santa Cruz
18	planet	Xi Zhang	Ge, Huazhi	University of California, Santa Cruz
19	earth	Emily Brodsky	Kelian Dascher-Cousineau	University of California, Santa Cruz
16	planet	Yanga Fernandez	Schambeau, Charles	University of Central Florida
20	planet	Christopher Bennett	Katerina Slavicinska	University of Central Florida
19	planet	Josh Colwell	Stephanie Eckert	University of Central Florida
19	planet	Adrienne Dove	Keanna Jardine	University of Central Florida
20	earth	Katherine Mansfield	Alexander Edward Sacco	University of Central Florida
15	astro	Hsiao-Wen Chen	Liang, Jia	University of Chicago
15	planet	Nicolas Dauphas	Nie, Nicole	University of Chicago
17	planet	Andrew Davis	Villalon, Krysten	University of Chicago
20	astro	Daniel Fabrycky	Gregory Gilbert	University of Chicago
20	planet	Edwin Kite	Alexandra Warren	University of Chicago
21	planet	Dorian Abbot	Huanzhou Yang	University of Chicago
19	astro	Jacob Bean	Megan Mansfield	University of Chicago
19	astro	Nickolay Gnedin	Huanqing Chen	University of Chicago
15	earth	Douglas MacAyeal	Grant Macdonald	University of Chicago
16	earth	Dorian Abbot	Predrag Popovic	University of Chicago
15	earth	Robert Nerem	Ryan Hardy	University of Colorado, Boulder
19	earth	Jeffrey Thayer	Benjamin Wise	University of Colorado, Boulder
20	earth	Robert Nerem	Evan S Tucker	University of Colorado, Boulder
20	earth	Mike Willis	Jasmine Hansen	University of Colorado, Boulder
15	planet	Keith Julien	Plumley, Meredith	University of Colorado, Boulder
15	planet	Margaret Tolbert	Primm, Katie	University of Colorado, Boulder
15	helio	Xinlin Li	Califf, Sam	University of Colorado, Boulder
16	planet	Stephen Mojzsis	Oulton, Jonathan	University of Colorado, Boulder
17	astro	Kevin France	Arulanantham, Nicole	University of Colorado, Boulder
17	planet	Mihaly Horanyi	Bernardoni, Edwin	University of Colorado, Boulder
17	planet	Greg Rieker	Cole, Ryan	University of Colorado, Boulder
17	planet	Robert Marshall	Gasdia, Forrest	University of Colorado, Boulder
17	planet	Alexis Templeton	Rempfert, Kaitlin	University of Colorado, Boulder
17	planet	Margaret Tolbert	Ushijima, Shuichi	University of Colorado, Boulder
17	helio	Xinlin Li	Zhang, Kun	University of Colorado, Boulder
18	astro	James Green	Erickson, Nicholas	University of Colorado, Boulder
18	planet	Dave Brain	Weber, Tristan	University of Colorado, Boulder
18	planet	Ann-Marie Madigan	Zderic, Alexander	University of Colorado, Boulder
18	helio	Benjamin Brown	Anders, Evan	University of Colorado, Boulder
18	helio	Jeffrey Thayer	Holt, Hannah	University of Colorado, Boulder
18	helio	Xinlin Li	Khoo, Leng	University of Colorado, Boulder
18	helio	Mihaly Horanyi	Samaniego, Joseph	University of Colorado, Boulder
20	astro	Brian Fleming	Emily Witt	University of Colorado, Boulder
20	astro	Nils Halverson	Joanna Perido	University of Colorado, Boulder
20	astro	Juri Toomre	Connor Bice	University of Colorado, Boulder
20	astro	Joel Ullom	Samantha Walker	University of Colorado, Boulder
20	planet	Larry Esposito	Daniel Sega	University of Colorado, Boulder
20	planet	Brian Hynek	Bernerd Richard Archer	University of Colorado, Boulder
20	helio	Steven Cranmer	Samuel Van Kooten	University of Colorado, Boulder
20	helio	Steven Cranmer	Momchil Molnar	University of Colorado, Boulder
20	helio	Daniel Scheeres	Vishal Ray	University of Colorado, Boulder
21	astro	Erica Nelson	Justus Gibson	University of Colorado, Boulder
21	planet	Margaret Tolbert	Marium Fernanders	University of Colorado, Boulder
21	helio	Scot Elkington	Daniel da Silva	University of Colorado, Boulder
21	helio	Maria Kazachenko	Dennis Tilipman	University of Colorado, Boulder
21	helio	Robert Marshall	Riley Reid	University of Colorado, Boulder
21	helio	Jeffrey Thayer	Sarah Luettgen	University of Colorado, Boulder
19	astro	Benjamin Oppenheimer	Ryan Horton	University of Colorado, Boulder
19	helio	Tomoko Matsuo	Clayton Cantrall	University of Colorado, Boulder
19	helio	Juri Toomre	Loren Matilsky	University of Colorado, Boulder
15	earth	Albin Gasiewski	Lavanya Periasamy	University of Colorado, Boulder
15	earth	Robert Nerem	Matthieu Talpe	University of Colorado, Boulder
16	earth	Jeffrey Thayer	Rory Barton-Grimley	University of Colorado, Boulder
16	earth	Robert Nerem	Michael Croteau	University of Colorado, Boulder
16	earth	Rainer Volkamer	Henning Finkenzeller	University of Colorado, Boulder
16	earth	Noah Molotch	Keith Jennings	University of Colorado, Boulder
16	earth	Darin Toohey	Bryan Rainwater	University of Colorado, Boulder
16	earth	Waleed Abdalati	Tasha Snow	University of Colorado, Boulder
17	earth	Robert Marshall	Andre Antunes de Sa	University of Colorado, Boulder
17	earth	Rainer Volkamer	Randall Chiu	University of Colorado, Boulder
17	earth	Kristy Tiampo	Mylene Jacquemart	University of Colorado, Boulder
17	earth	Robert Nerem	Katie McMenamin	University of Colorado, Boulder
17	earth	Lora Koenig	Lynn Montgomery	University of Colorado, Boulder
17	earth	Robert Nerem	Alexa Putnam	University of Colorado, Boulder
17	earth	Anne Sheehan	Neesha Schnepf	University of Colorado, Boulder
17	earth	Albin Gasiewski	Aravind Venkitasubramony	University of Colorado, Boulder
18	earth	Robert Nerem	Carlos Deccia	University of Colorado, Boulder
18	earth	Margaret Tolbert	Kevin Jansen	University of Colorado, Boulder
19	earth	Alexandra Jahn	Abigail Smith	University of Colorado, Boulder
19	earth	Jan Lenaerts	Devon Dunmire	University of Colorado, Boulder
19	earth	Eric Small	Eric Smyth	University of Colorado, Boulder
20	earth	Jose-Luis Jimenez	Melinda K Schueneman	University of Colorado, Boulder
21	earth	Kristopher Karnauskas	Mikell Warms	University of Colorado, Boulder
21	earth	Jan Lenaerts	Michelle Maclennan	University of Colorado, Boulder
21	earth	Jeffrey Thayer	Kevin Sacca	University of Colorado, Boulder
20	earth	John Silander	Henry Aaron Frye	University of Connecticut
19	astro	Katherine Whitaker	Mohammad Akhshik	University of Connecticut
15	earth	Brian Hanson	Patricia Lawston	University of Delaware
17	planet	Jamie Foster	Babilonia, Joany	University of Florida, Gainsville
21	astro	Sarah Ballard	Quadry Chance	University of Florida, Gainsville
19	earth	Stephanie Bohlman	Christine Swanson	University of Florida, Gainsville
19	earth	Jeremy Lichstein	Elizabeth Webb	University of Florida, Gainsville
16	earth	Thomas Mote	Kyle Mattingly	University of Georgia, Athens
18	earth	Geoffrey Smith	Michael Pogash	University of Georgia, Athens
18	earth	Renato Castelao	Caitlin Amos	University of Georgia, Athens
15	earth	Megan Donahue	Jamie Sziklay	University of Hawaii, Honolulu
15	helio	Veronica Bindi	Whitman, Kathryn	University of Hawaii, Honolulu
16	astro	Peter Gorham	Russell, John	University of Hawaii, Honolulu
18	astro	Istvan Szapudi	Repp, Andrew	University of Hawaii, Honolulu
21	planet	Paul Lucey	Abigail Flom	University of Hawaii, Honolulu
21	helio	Veronica Bindi	Siqi Wang	University of Hawaii, Honolulu
19	astro	Daniel Huber	Travis Berger	University of Hawaii, Honolulu
19	astro	Philip von Doetinchem	Cory Gerrity	University of Hawaii, Honolulu
19	earth	Christina Karamperidou	Madeline McKenna	University of Hawaii, Honolulu
21	earth	Seth Bushinsky	Shannon McClish	University of Hawaii, Honolulu
15	planet	Thomas Lapen	Kerekgyarto, Andrew	University of Houston
15	earth	Hyongki Lee	Ting Yuan	University of Houston
21	earth	Yuxuan Wang	Tabitha Lee	University of Houston
15	earth	Lee Vierling	Heather Greaves	University of Idaho, Moscow
16	earth	Robert Heinse	Mary Engels	University of Idaho, Moscow
16	earth	Luigi Boschetti	Andrea Melchiorre	University of Idaho, Moscow
18	earth	Jan Eitel	Micah Russell	University of Idaho, Moscow
19	earth	Jan Eitel	Andrew Maguire	University of Idaho, Moscow
17	earth	Stephen Nesbitt	Randy Chase	University of Illinois, Urbana-Champaign
20	earth	Larry Di Girolamo	Jesse Ray Loveridge	University of Illinois, Urbana-Champaign
16	planet	Fabien Kenig	Chou, Luoth	University of Illinois, Chicago
16	earth	Greg McFarquhar	Siddhant Gupta	University of Illinois, Urbana-Champaign
16	astro	Benjamin McCall	Markus, Charles	University of Illinois, Urbana-Champaign
20	helio	Brian Fields	Jesse Miller	University of Illinois, Urbana-Champaign
21	helio	Raluca Ilie	Mei-Yun Lin	University of Illinois, Urbana-Champaign
21	helio	Lara Waldrop	Pratik Joshi	University of Illinois, Urbana-Champaign
19	helio	Lara Waldrop	Pratik Joshi	University of Illinois, Urbana-Champaign
20	earth	Kaiyu Guan	Genghong  Wu	University of Illinois, Urbana-Champaign
15	earth	Praveen Kumar	Allison Goodwell	University of Illinois, Urbana-Champaign
15	earth	Jonathan Greenberg	Bailey Morrison	University of Illinois, Urbana-Champaign
18	earth	Patricia Gregg	Yan Zhan	University of Illinois, Urbana-Champaign
19	earth	Larry Di Girolamo	Rose Miller	University of Illinois, Urbana-Champaign
19	earth	Francina Dominguez	Divyansh Chug	University of Illinois, Urbana-Champaign
19	earth	Deanna Hence	Jeffrey Thayer	University of Illinois, Urbana-Champaign
16	helio	Craig Kletzing	De Pascuale, Sebastian	University of Iowa, Iowa City
20	helio	Gregory Howes	Sarah Horvath	University of Iowa, Iowa City
20	helio	Allison Jaynes	Riley Troyer	University of Iowa, Iowa City
21	astro	Casey DeRoo	Cecilia Fasano	University of Iowa, Iowa City
18	earth	William Barnhart	Clayton Brengman	University of Iowa, Iowa City
21	earth	Jun Wang	Meng Zhou	University of Iowa, Iowa City
20	astro	Allison Kirkpatrick	Cassandra Hatcher	University of Kansas
16	earth	Marcelo Guzman	Alexis Eugene	University of Kentucky, Lexington
15	earth	Gordon Hamilton	Jessica Scheick	University of Maine
17	earth	Ralph Dubayah	Suzanne Marselis	University of Maryland
20	earth	Fernando Miralles-Wilhelm	Marissa Dattler	University of Maryland
16	earth	J. Vanderlei Martins	Brent McBride	University of Maryland, Baltimore County
19	earth	Zhibo Zhang	Qianqian Song	University of Maryland, Baltimore County
21	earth	J. Vanderlei Martins	Noah Sienkiewicz	University of Maryland, Baltimore County
17	earth	Pengwang Zhai	Lipi Mukherjee	University of Maryland, Baltimore County
15	earth	Ross Salawitch	Margaret Marvin	University of Maryland, College Park
15	earth	Xin-Zhong Liang	David New	University of Maryland, College Park
15	earth	Barton Forman	Yuan Xue	University of Maryland, College Park
15	planet	Jessica Sunshine	McAdam, Margaret	University of Maryland, College Park
16	astro	Christopher Reynolds	Hogg, James	University of Maryland, College Park
16	earth	Ralph Dubayah	Danielle Rappaport	University of Maryland, College Park
16	planet	L. Deming	Louie, Dana	University of Maryland, College Park
16	planet	Douglas Hamilton	Rogoszinski, Zeeve	University of Maryland, College Park
17	planet	Douglas Hamilton	Rimlinger, Thomas	University of Maryland, College Park
17	planet	Laurent Montesi	Schools, Joseph	University of Maryland, College Park
17	helio	Jason TenBarge	Juno, James	University of Maryland, College Park
18	astro	Sylvain Veilleux	Gatkine, Pradip	University of Maryland, College Park
18	planet	Nicholas Schmerr	Marusiak, Angela	University of Maryland, College Park
20	astro	Eliza Kempton	Benjamin Hord	University of Maryland, College Park
20	planet	Derek Richardson	Julian C. Marohnic	University of Maryland, College Park
21	astro	Massimo Ricotti	Chongchong He	University of Maryland, College Park
21	planet	Megan Newcombe	Liam Peterson	University of Maryland, College Park
21	planet	Derek Richardson	Joseph DeMartini	University of Maryland, College Park
18	earth	Eugenia Kalnay	Cheng Da	University of Maryland, College Park
19	helio	James Drake	Harry Arnold	University of Maryland, College Park
21	earth	Ralph Dubayah	Jamis Bruening	University of Maryland, College Park
21	earth	Laura Duncanson	Mengyu Liang	University of Maryland, College Park
21	earth	Sergii Skakun	Mohammad Khan	University of Maryland, College Park
18	planet	James Holden	Kashyap, Srishti	University of Massachusetts, Amherst
15	earth	Bethany Bradley	Caroline Curtis	University of Massachusetts, Amherst
16	earth	Jon Woodruff	Hannah Baranes	University of Massachusetts, Amherst
19	earth	Colin Gleason	Merritt Harlan	University of Massachusetts, Amherst
21	earth	Colin Gleason	Craig Brinkerhoff	University of Massachusetts, Amherst
15	earth	Jianhua Qian	David Coe	University of Massachusetts, Lowell
15	earth	Falk Amelung	Yunjun Zhang	University of Miami, Key Biscayne
16	earth	Brian Soden	Ryan Kramer	University of Miami, Key Biscayne
17	earth	Shuyi Chen	Ajda Savarin	University of Miami, Key Biscayne
19	earth	Peter Minnett	Bingkun Luo	University of Miami, Key Biscayne
21	earth	Brian Soden	Sisam Shrestha	University of Miami, Key Biscayne
20	earth	Roger De Roo	Puneeth Yogananda	University of Michigan, Ann Arbor
17	earth	Valeriy Ivanov	Elizabeth Agee	University of Michigan, Ann Arbor
15	planet	Michael Liemohn	Azari, Abigail	University of Michigan, Ann Arbor
16	planet	David Gerdes	Hamilton, Stephanie	University of Michigan, Ann Arbor
16	helio	Susan Lepri	Kocher, Manan	University of Michigan, Ann Arbor
16	helio	SHASHA ZOU	Trung, Sinh	University of Michigan, Ann Arbor
17	astro	Jon Miller	Ludlam, Renee	University of Michigan, Ann Arbor
17	planet	Jim Raines	Dewey, Ryan	University of Michigan, Ann Arbor
17	planet	Xianzhe Jia	Sarkango, Yash	University of Michigan, Ann Arbor
17	helio	Ward Manchester	Shi, Tong	University of Michigan, Ann Arbor
18	planet	Stephen Bougher	Roeten, Kali	University of Michigan, Ann Arbor
18	helio	Justin Kasper	Bert, Christopher	University of Michigan, Ann Arbor
18	helio	Daniel Welling	Mukhopadhyay, Agnit	University of Michigan, Ann Arbor
20	astro	Mateusz Ruszkowski	Francisco Holguin	University of Michigan, Ann Arbor
20	helio	Michael Liemohn	Brian Swiger	University of Michigan, Ann Arbor
21	planet	James Slavin	Charles Bowers	University of Michigan, Ann Arbor
19	planet	Edwin Bergin	Jenny Calahan	University of Michigan, Ann Arbor
19	planet	John Monnier	Benjamin Setterholm	University of Michigan, Ann Arbor
19	planet	Jim Raines	Austin Glass	University of Michigan, Ann Arbor
19	helio	Justin Kasper	Daniel Vech	University of Michigan, Ann Arbor
19	helio	Shasha Zou	Zihan Wang	University of Michigan, Ann Arbor
16	earth	Brian Arbic	Anna Savage	University of Michigan, Ann Arbor
17	earth	Xianglei Huang	Zachary Fair	University of Michigan, Ann Arbor
17	earth	Gretchen Keppel-Aleks	Anthony Torres	University of Michigan, Ann Arbor
17	earth	Mark Flanner	Jamie Ward	University of Michigan, Ann Arbor
18	earth	Chris Ruf	Rachel Norris	University of Michigan, Ann Arbor
19	earth	Neil Carter	Alexander Killion	University of Michigan, Ann Arbor
19	earth	Xianglei Huang	Colten Peterson	University of Michigan, Ann Arbor
21	earth	Gretchen Keppel-Aleks	Daniel Muccio	University of Michigan, Ann Arbor
17	helio	Lindsay Glesener	Vievering, Juliana	University of Minnesota
18	helio	Lindsay Glesener	Knuth, Trevor	University of Minnesota
21	helio	Lindsay Glesener	Yixian Zhang	University of Minnesota
19	helio	Lindsay Glesener	Jessie Duncan	University of Minnesota
19	helio	Robert Lysak	Aaron West	University of Minnesota
18	earth	Dylan Millet	Xueying Yu	University of Minnesota
19	earth	Ardeshir Ebtehaj	Lun Gao	University of Minnesota
21	earth	Peter Neff	Julia Andreasen	University of Minnesota
16	planet	Erika Gibb	Roth, Nathan	University of Missouri, St Lous
15	earth	Ashley Ballantyne	Leila Cooper	University of Montana
17	earth	Mark Hebblewhite	Eric Palm	University of Montana
20	planet	Zhaohuan Zhu	Shangjia Zhang	University of Nevada, Las Vegas
16	earth	Cornelis Kreemer	Meredith Kraner	University of Nevada, Reno
16	earth	Heather Holmes	Sandra Marcela Loria-Salazar	University of Nevada, Reno
15	helio	Roy Torbert	Shuster, Jason	University of New Hampshire, Durham
21	helio	Marc Lessard	Niharika Godbole	University of New Hampshire, Durham
15	planet	Carl Agee	Vander Kaaden, Kathleen	University of New Mexico
18	earth	Tamlin Pavelsky	Simon Topp	University of North Carolina, Chapel Hill
19	earth	Tamlin Pavelsky	Wayana Dolan	University of North Carolina, Chapel Hill
16	earth	Jianglong Zhang	Travis Toth	University of North Dakota, Grand Forks
17	planet	Clive Neal	Torcivia, Mike	University of Notre Dame
19	astro	Jay Howk	Michelle Berg	University of Notre Dame
15	earth	Adrian Rocha	Kelsey Kremers	University of Notre Dame
15	earth	Yang Hong	Nick Carr	University of Oklahoma, Norman
16	earth	Michael Biggerstaff	Austin Alford	University of Oklahoma, Norman
19	earth	Jeffrey Basara	Ryann Wakefield	University of Oklahoma, Norman
21	earth	Pierre-Emmanuel Kirstetter	Noah Brauer	University of Oklahoma, Norman
18	earth	Amanda Thomas	Jiun-Ting Lin	University of Oregon
21	earth	David Sutherland	Nicole Abib	University of Oregon
16	astro	Cullen Blake	Baker, Ashley	University of Pennsylvania
17	planet	Michael Ramsey	Simurda, Christine	University of Pittsburgh
15	earth	Michael Ramsey	Daniel Williams	University of Pittsburgh
17	earth	Nadine McQuarrie	Victoria Buford	University of Pittsburgh
17	earth	Michael Ramsey	James Thompson	University of Pittsburgh
18	earth	Melissa Omand	Melanie Feen	University of Rhode Island
20	earth	Colleen Mouw	Virginie Sonnet	University of Rhode Island
21	astro	Jannick Rolland	Jessica Steidle	University of Rochester
19	astro	Steven Rodney	Justin Roberts-Pierel	University of South Carolina
15	earth	Frank Muller-Karger	Abdiel Laureano-Rosario	University of South Florida, Tampa
20	earth	Don Chambers	Jessica Caggiano	University of South Florida, Tampa
16	earth	Chuanmin Hu	Shaojie Sun	University of South Florida, Tampa
17	earth	Timothy Dixon	Fanghui Deng	University of South Florida, Tampa
17	earth	Sylvain Charbonnier	Elodie Macorps	University of South Florida, Tampa
18	earth	Xinfeng Liang	Chao Liu	University of South Florida, Tampa
19	earth	Chuanmin Hu	Yingjun Zhang	University of South Florida, Tampa
18	earth	Alireza Tabatabaeenejad	Kazem Bakian Dogaheh	University of Southern California
18	earth	Mahta Moghaddam	Samuel Prager	University of Southern California
20	earth	Jingyi Chen	Ke Wang	University of Texas, Austin
20	earth	Jingyi Chen	Yue Wu	University of Texas, Austin
17	earth	Michael Young	Charles Abolt	University of Texas, Austin
20	earth	Zong-Liang Yang	Kwun Yip Fung	University of Texas, Austin
15	planet	John Holt	Petersen, Eric	University of Texas, Austin
17	astro	Steven Finkelstein	Jung, Intae	University of Texas, Austin
17	planet	Adam Kraus	Martinez, Raquel	University of Texas, Austin
20	astro	Brendan Bowler	Quang Tran	University of Texas, Austin
20	astro	Caroline Morley	Melanie Rowland	University of Texas, Austin
21	planet	Timothy Goudge	Emily Bamber	University of Texas, Austin
18	earth	Ginny Catania	Sophie Goliber	University of Texas, Austin
18	planet	Benjamin Brunner	Labrado, Amanda	University of Texas, El Paso
21	helio	Maher Dayeh	Samuel Hart	University of Texas, San Antonio
19	planet	Kurt Retherford	Lizeth Magana	University of Texas, San Antonio
15	earth	Edward Zipser	Sarah Bang	University of Utah
19	earth	Steven Krueger	Xia Li	University of Utah
18	earth	Jason Stockwell	Allison Hrycik	University of Vermont, Burlington
19	earth	Venkat Lakshmi	Hyunglok Kim	University of Virginia, Charlottesville
15	earth	Alexander Horner-Devine	Ruth Branch	University of Washington, Seattle
15	earth	Robert Houze	Jennifer DeHart	University of Washington, Seattle
15	earth	Benjamin Smith	Alex Huth	University of Washington, Seattle
15	earth	Ian Joughin	David Lilien	University of Washington, Seattle
17	earth	Faisal Hossain	Matthew Bonnema	University of Washington, Seattle
20	earth	Knut Christianson	Andrew Osten Hoffman	University of Washington, Seattle
20	earth	Dennis Hartmann	Adam B Sokol	University of Washington, Seattle
20	earth	Georgy Manucharyan	Yang Wang	University of Washington, Seattle
15	astro	Eric Agol	Windemuth, Diana	University of Washington, Seattle
15	planet	David Catling	Krissansen-Totton, Joshua	University of Washington, Seattle
15	planet	Gabrielle Rocap	Saunders, Jaclyn	University of Washington, Seattle
17	planet	Rory Barnes	Fleming, David	University of Washington, Seattle
17	planet	Victoria Meadows	Lincowski, Andrew	University of Washington, Seattle
18	planet	Erika Harnett	Styczinski, Marshall	University of Washington, Seattle
20	planet	Becky Alexander	Yuk Chun Chan	University of Washington, Seattle
21	planet	David Catling	Lucas Fifer	University of Washington, Seattle
21	planet	Andrew Connolly	Hayden Smotherman	University of Washington, Seattle
19	astro	Jessica Werk	Natalie Sanchez	University of Washington, Seattle
16	earth	Jessica Lundquist	William Currier	University of Washington, Seattle
16	earth	LuAnne Thompson	Paige Logan	University of Washington, Seattle
16	earth	Faisal Hossain	Md Sikder	University of Washington, Seattle
17	earth	Robert Wood	Michael Diamond	University of Washington, Seattle
17	earth	LuAnne Thompson	Shirley Leung	University of Washington, Seattle
18	earth	David Butman	Catherine Kuhn	University of Washington, Seattle
18	earth	Jessica Lundquist	Justin Pflug	University of Washington, Seattle
18	earth	Van Kane	Liz van Wagtendonk	University of Washington, Seattle
19	earth	Shuyi Chen	Benjamin Barr	University of Washington, Seattle
19	earth	David Shean	Shashank Bhushan	University of Washington, Seattle
19	earth	Aaron Wirsing	Lauren Satterfield	University of Washington, Seattle
20	earth	Joel Thornton	Carley Fredrickson	University of Washington, Seattle
21	earth	Shuyi Chen	Lucero Yakelyn Ramos Jauregui	University of Washington, Seattle
21	earth	Lynn McMurdie	Andrew DeLaFrance	University of Washington, Seattle
16	astro	Ellen Zweibel	Bustard, Chad	University of Wisconsin, Madison
17	astro	Peter Timbie	Phan, Anh	University of Wisconsin, Madison
18	helio	Jan Egedal	Lichko, Emily	University of Wisconsin, Madison
20	planet	David Baum	Lena Vincent	University of Wisconsin, Madison
15	earth	Philip Townsend	Tedward Erker	University of Wisconsin, Madison
16	earth	Philip Townsend	John Clare	University of Wisconsin, Madison
16	earth	Tristan L'Ecuyer	Elin McIlhattan	University of Wisconsin, Madison
18	earth	Daniel Wright	Samantha Hartke	University of Wisconsin, Madison
21	earth	Tristan L'Ecuyer	Julia Shates	University of Wisconsin, Madison
21	earth	Volker Radeloff	Natalia Rogova	University of Wisconsin, Madison
21	astro	Philip Chang	Alexandra Spaulding	University of Wisconsin, Milwaukee
17	earth	Tristan L'Ecuyer	Kai-Wei Chang	University of Wisconsin, Madison
20	earth	Tristan L'Ecuyer	Juliet Ann Pilewskie	University of Wisconsin, Madison
18	astro	Daniel Dale	Sutter, Jessica	University of Wyoming
21	astro	Chip Kobulnicky	Ashley Piccone	University of Wyoming
18	earth	Owen Toon	Parker Case	_Using GEOS-5/CARMA to Improve Interpretations of  NASA Satellite Observations of
17	helio	Ludger Scherliess	Molina, Ivana	Utah State University
15	astro	Keivan Stassun	Conroy, Kyle	Vanderbilt University
17	earth	Craig Woolsey	Hunter McClelland	Virginia Polytechnic Institute & State University
17	helio	John Ruohoniemi	Shi, Xueling	Virginia Polytechnic Institute & State University
21	earth	Deepti Singh	Dmitri Kalashnikov	Washington State University, Pullman
16	planet	Christine Floss	Haas, Brendan	Washington University
17	planet	Bradley Jolliff	Bouchard, Michael	Washington University
17	planet	Michael Krawczynski	Prissel, Kelsey	Washington University
18	earth	Rajan Chakrabarty	Benjamin Sumlin	Washington University
19	planet	Jeffrey Catalano	Kaushik Mitra	Washington University
16	planet	William Liou	Brueshaber, Shawn	Western Michigan University, Kalamazoo
19	earth	Atri Dutta	Pardhasai Chadalavada	Wichita State University
